"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 16","8,638.50","8,313.05","8,674.70","8,287.55","3.42B","4.23%"
"Jun 16","8,287.75","8,179.20","8,308.15","7,927.05","4.32B","1.56%"
"May 16","8,160.10","7,822.70","8,213.60","7,678.35","4.50B","3.95%"
"Apr 16","7,849.80","7,718.05","7,992.00","7,516.85","3.65B","1.44%"
"Mar 16","7,738.40","7,038.25","7,777.60","7,035.10","4.96B","10.75%"
"Feb 16","6,987.05","7,589.50","7,600.45","6,825.80","5.33B","-7.62%"
"Jan 16","7,563.55","7,938.45","7,972.55","7,241.50","3.96B","-4.82%"
"Dec 15","7,946.35","7,958.15","7,979.30","7,551.05","3.12B","0.14%"
"Nov 15","7,935.25","8,054.55","8,116.10","7,714.15","2.93B","-1.62%"
"Oct 15","8,065.80","7,992.05","8,336.30","7,930.65","3.47B","1.47%"
"Sep 15","7,948.90","7,907.95","8,055.00","7,539.50","3.54B","-0.28%"
"Aug 15","7,971.30","8,510.65","8,621.55","7,667.25","4.06B","-6.58%"
"Jul 15","8,532.85","8,376.25","8,654.75","8,315.40","3.19B","1.96%"
"Jun 15","8,368.50","8,417.25","8,467.15","7,940.30","3.25B","-0.77%"
"May 15","8,433.65","8,230.05","8,489.55","7,997.15","3.49B","3.08%"
"Apr 15","8,181.50","8,483.70","8,844.80","8,144.75","3.37B","-3.65%"
"Mar 15","8,491.00","8,953.85","9,119.20","8,269.15","3.84B","-4.62%"
"Feb 15","8,901.85","8,802.50","8,941.10","8,470.50","3.78B","1.06%"
"Jan 15","8,808.90","8,272.80","8,996.60","8,065.45","3.49B","6.35%"
"Dec 14","8,282.70","8,605.10","8,626.95","7,961.35","3.15B","-3.56%"
"Nov 14","8,588.25","8,348.15","8,617.00","8,290.25","2.70B","3.20%"
"Oct 14","8,322.20","7,960.50","8,330.75","7,723.85","2.70B","4.49%"
"Sep 14","7,964.80","7,990.35","8,180.20","7,841.80","2.93B","0.13%"
"Aug 14","7,954.35","7,662.50","7,968.25","7,540.10","2.48B","3.02%"
"Jul 14","7,721.30","7,629.00","7,840.95","7,422.15","3.32B","1.44%"
"Jun 14","7,611.35","7,264.05","7,700.05","7,239.50","3.62B","5.28%"
"May 14","7,229.95","6,709.95","7,563.50","6,638.55","4.28B","7.97%"
"Apr 14","6,696.40","6,729.50","6,869.85","6,650.40","2.67B","-0.12%"
"Mar 14","6,704.20","6,264.35","6,730.05","6,212.25","3.86B","6.81%"
"Feb 14","6,276.95","6,058.80","6,282.70","5,933.30","2.80B","3.08%"
"Jan 14","6,089.50","6,323.80","6,358.30","6,027.25","3.35B","-3.40%"
"Dec 13","6,304.00","6,171.15","6,415.25","6,129.95","3.62B","2.07%"
"Nov 13","6,176.10","6,289.75","6,342.95","5,972.45","3.02B","-1.95%"
"Oct 13","6,299.15","5,756.10","6,309.05","5,700.95","3.84B","9.83%"
"Sep 13","5,735.30","5,480.25","6,142.50","5,318.90","4.49B","4.82%"
"Aug 13","5,471.80","5,776.90","5,808.50","5,118.85","5.01B","-4.71%"
"Jul 13","5,742.00","5,834.10","6,093.35","5,675.75","3.52B","-1.72%"
"Jun 13","5,842.20","5,997.35","6,011.00","5,566.25","2.98B","-2.40%"
"May 13","5,985.95","5,911.40","6,229.45","5,910.95","3.08B","0.94%"
"Apr 13","5,930.20","5,697.35","5,962.30","5,477.20","2.73B","4.36%"
"Mar 13","5,682.55","5,702.45","5,971.20","5,604.85","2.88B","-0.18%"
"Feb 13","5,693.05","6,040.95","6,052.95","5,671.90","3.08B","-5.66%"
"Jan 13","6,034.75","5,937.65","6,111.80","5,935.20","3.08B","2.20%"
"Dec 12","5,905.10","5,878.25","5,965.15","5,823.15","2.41B","0.43%"
"Nov 12","5,879.85","5,609.85","5,885.25","5,548.35","2.30B","4.63%"
"Oct 12","5,619.70","5,704.75","5,815.35","4,888.20","2.77B","-1.47%"
"Sep 12","5,703.30","5,276.50","5,735.15","5,215.70","3.36B","8.46%"
"Aug 12","5,258.50","5,220.70","5,448.60","5,164.65","2.75B","0.56%"
"Jul 12","5,229.00","5,283.85","5,348.55","5,032.40","2.67B","-0.95%"
"Jun 12","5,278.90","4,910.85","5,286.25","4,770.35","3.04B","7.20%"
"May 12","4,924.25","5,254.30","5,279.60","4,788.95","3.23B","-6.17%"
"Apr 12","5,248.15","5,296.35","5,378.75","5,154.30","2.74B","-0.90%"
"Mar 12","5,295.55","5,366.00","5,499.40","5,135.95","4.16B","-1.66%"
"Feb 12","5,385.20","5,198.15","5,629.95","5,159.00","5.04B","3.58%"
"Jan 12","5,199.25","4,640.20","5,217.00","4,588.05","3.96B","12.43%"
"Dec 11","4,624.30","4,970.85","5,099.25","4,531.15","3.43B","-4.30%"
"Nov 11","4,832.05","5,278.60","5,326.45","4,639.10","3.30B","-9.28%"
"Oct 11","5,326.60","4,874.40","5,399.70","4,728.30","2.96B","7.76%"
"Sep 11","4,943.25","5,109.80","5,169.25","4,758.85","3.49B","-1.15%"
"Aug 11","5,001.00","5,527.50","5,551.90","4,720.00","3.10B","-8.77%"
"Jul 11","5,482.00","5,705.75","5,740.40","5,453.95","2.32B","-2.93%"
"Jun 11","5,647.40","5,561.05","5,657.90","5,195.90","2.36B","1.57%"
"May 11","5,560.15","5,766.90","5,775.25","5,328.70","2.39B","-3.29%"
"Apr 11","5,749.50","5,835.00","5,944.45","5,693.25","2.16B","-1.44%"
"Mar 11","5,833.75","5,382.00","5,872.00","5,348.20","3.22B","9.38%"
"Feb 11","5,333.25","5,537.30","5,599.25","5,177.70","3.73B","-3.14%"
"Jan 11","5,505.90","6,177.45","6,181.05","5,416.65","3.07B","-10.25%"
"Dec 10","6,134.50","5,871.00","6,147.30","5,721.15","2.99B","4.64%"
"Nov 10","5,862.70","6,092.30","6,338.50","5,690.35","3.30B","-2.58%"
"Oct 10","6,017.70","6,030.30","6,284.10","5,937.10","2.91B","-0.20%"
"Sep 10","6,029.95","5,403.05","6,073.50","5,403.05","3.61B","11.62%"
"Aug 10","5,402.40","5,369.55","5,549.80","5,348.90","3.21B","0.65%"
"Jul 10","5,367.60","5,312.05","5,477.50","5,225.60","3.34B","1.04%"
"Jun 10","5,312.50","5,086.25","5,366.75","4,961.05","4.04B","4.45%"
"May 10","5,086.30","5,278.40","5,278.70","4,786.45","3.92B","-3.63%"
"Apr 10","5,278.00","5,249.20","5,399.65","5,160.90","3.15B","0.55%"
"Mar 10","5,249.10","4,935.60","5,329.55","4,935.35","3.42B","6.64%"
"Feb 10","4,922.30","4,882.05","4,992.00","4,675.40","3.56B","0.82%"
"Jan 10","4,882.05","5,200.90","5,310.85","4,766.00","3.88B","-6.13%"
"Dec 09","5,201.05","5,039.70","5,221.85","4,943.95","4.39B","3.35%"
"Nov 09","5,032.70","4,712.25","5,138.00","4,538.50","5.19B","6.81%"
"Oct 09","4,711.70","5,087.20","5,181.95","4,687.50","4.89B","-7.32%"
"Sep 09","5,083.95","4,662.20","5,087.60","4,576.60","4.68B","9.05%"
"Aug 09","4,662.10","4,633.80","4,743.75","4,353.45","5.34B","0.55%"
"Jul 09","4,636.45","4,292.30","4,669.75","3,918.75","7.01B","8.05%"
"Jun 09","4,291.10","4,450.40","4,693.20","4,143.25","7.98B","-3.55%"
"May 09","4,448.95","3,478.70","4,509.40","3,478.70","7.14B","28.07%"
